               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  49,            0.023838,           0.0056811,                   0,             0.99841,             0.99145,               0.995,             0.71107,            0.022833,           0.0042375,                   0,           0.0090496,           0.0090496,           0.0090496
                  50,            0.025306,           0.0057176,                   0,             0.98826,             0.98291,             0.99424,              0.6617,            0.024531,           0.0042836,                   0,           0.0090298,           0.0090298,           0.0090298
                  51,            0.024384,           0.0055706,                   0,             0.99124,             0.97436,             0.99167,             0.66821,            0.024231,           0.0042803,                   0,             0.00901,             0.00901,             0.00901
                  52,            0.023809,           0.0055911,                   0,             0.99735,             0.98291,             0.99483,             0.70062,            0.023321,           0.0041306,                   0,           0.0089902,           0.0089902,           0.0089902
                  53,            0.023612,            0.005627,                   0,             0.99143,             0.98923,             0.99491,             0.68624,            0.024199,           0.0040816,                   0,           0.0089704,           0.0089704,           0.0089704
                  54,            0.024852,           0.0056547,                   0,             0.97254,             0.99145,               0.993,             0.63752,            0.026617,           0.0042426,                   0,           0.0089506,           0.0089506,           0.0089506
                  55,            0.023569,           0.0055536,                   0,                   1,             0.98116,             0.99459,             0.66051,            0.023555,           0.0040814,                   0,           0.0089308,           0.0089308,           0.0089308
                  56,             0.02372,           0.0055827,                   0,             0.97397,             0.98291,              0.9893,             0.65638,            0.023623,           0.0041831,                   0,            0.008911,            0.008911,            0.008911
                  57,            0.022731,           0.0055067,                   0,             0.97878,             0.97436,             0.99083,             0.67247,            0.022231,           0.0041473,                   0,           0.0088912,           0.0088912,           0.0088912
                  58,            0.022719,           0.0055011,                   0,             0.97239,             0.99145,             0.99222,              0.6985,            0.022243,           0.0040728,                   0,           0.0088714,           0.0088714,           0.0088714
                  59,            0.023568,           0.0053519,                   0,                   1,             0.99121,               0.995,             0.67836,            0.024967,           0.0041204,                   0,           0.0088516,           0.0088516,           0.0088516
                  60,            0.023945,           0.0054843,                   0,             0.97981,             0.99145,             0.99432,             0.68003,            0.023061,           0.0041819,                   0,           0.0088318,           0.0088318,           0.0088318
                  61,            0.023031,           0.0056204,                   0,             0.98266,             0.96884,             0.99056,             0.68645,            0.023587,           0.0041974,                   0,            0.008812,            0.008812,            0.008812
                  62,            0.021514,           0.0052007,                   0,             0.99726,             0.99145,               0.995,             0.70664,            0.022189,           0.0039457,                   0,           0.0087922,           0.0087922,           0.0087922
                  63,            0.022361,           0.0053447,                   0,             0.98995,                   1,             0.99492,             0.69077,            0.022934,            0.003937,                   0,           0.0087724,           0.0087724,           0.0087724
                  64,            0.022572,           0.0050704,                   0,                   1,             0.99694,               0.995,             0.69125,            0.021758,           0.0039872,                   0,           0.0087526,           0.0087526,           0.0087526
                  65,            0.023051,           0.0053448,                   0,             0.98316,             0.99814,             0.99406,             0.70334,            0.022002,           0.0039214,                   0,           0.0087328,           0.0087328,           0.0087328
                  66,            0.022992,           0.0053763,                   0,             0.99944,             0.99145,               0.995,             0.68949,            0.021763,           0.0040282,                   0,            0.008713,            0.008713,            0.008713
                  67,            0.021995,           0.0052228,                   0,             0.98296,             0.98625,             0.99483,             0.68451,            0.023503,           0.0041326,                   0,           0.0086932,           0.0086932,           0.0086932
                  68,            0.021617,           0.0052304,                   0,              0.9915,             0.99727,             0.99492,             0.69736,            0.021561,           0.0039682,                   0,           0.0086734,           0.0086734,           0.0086734
                  69,            0.021908,           0.0052084,                   0,             0.98319,              0.9996,             0.99466,             0.71059,            0.021973,           0.0039266,                   0,           0.0086536,           0.0086536,           0.0086536
                  70,            0.020681,           0.0052113,                   0,             0.97499,             0.99947,             0.99457,             0.71644,            0.021363,           0.0038786,                   0,           0.0086338,           0.0086338,           0.0086338
                  71,            0.023443,            0.005045,                   0,               0.983,             0.98841,             0.99423,             0.69473,            0.021424,           0.0039924,                   0,            0.008614,            0.008614,            0.008614
                  72,            0.021825,           0.0050401,                   0,             0.99031,             0.99145,             0.99491,             0.70634,            0.022024,           0.0038143,                   0,           0.0085942,           0.0085942,           0.0085942
                  73,            0.021254,           0.0049714,                   0,                0.99,             0.99145,             0.99491,             0.71991,            0.022037,            0.003944,                   0,           0.0085744,           0.0085744,           0.0085744
                  74,            0.021878,           0.0049472,                   0,                   1,             0.99041,               0.995,             0.69579,            0.022277,           0.0039583,                   0,           0.0085546,           0.0085546,           0.0085546
                  75,            0.022062,           0.0052505,                   0,             0.99891,             0.99145,               0.995,             0.71441,              0.0211,           0.0039105,                   0,           0.0085348,           0.0085348,           0.0085348
                  76,            0.022204,            0.005177,                   0,             0.99689,             0.99145,               0.995,             0.72908,            0.020907,           0.0039132,                   0,            0.008515,            0.008515,            0.008515
                  77,            0.021325,           0.0052392,                   0,             0.99028,             0.99145,             0.99491,             0.71507,            0.021517,           0.0038691,                   0,           0.0084952,           0.0084952,           0.0084952
                  78,            0.021863,           0.0050025,                   0,             0.99885,             0.99145,               0.995,             0.70848,            0.022076,           0.0038317,                   0,           0.0084754,           0.0084754,           0.0084754
                  79,            0.020633,           0.0051336,                   0,             0.99521,             0.96581,             0.99433,             0.68382,            0.023307,           0.0038814,                   0,           0.0084556,           0.0084556,           0.0084556
                  80,            0.022037,           0.0051447,                   0,             0.98833,             0.99145,             0.99483,             0.69151,            0.022186,           0.0039198,                   0,           0.0084358,           0.0084358,           0.0084358
                  81,            0.020637,            0.005072,                   0,             0.99143,             0.98915,             0.99466,             0.73787,             0.02041,           0.0038329,                   0,            0.008416,            0.008416,            0.008416
                  82,             0.02041,           0.0050001,                   0,              0.9886,             0.99145,             0.99474,             0.73044,            0.020279,           0.0037436,                   0,           0.0083962,           0.0083962,           0.0083962
                  83,            0.021465,            0.004835,                   0,                   1,             0.98018,               0.995,             0.71606,            0.020558,           0.0039117,                   0,           0.0083764,           0.0083764,           0.0083764
                  84,            0.020559,           0.0051223,                   0,             0.97261,             0.99145,             0.99423,             0.72418,            0.020834,           0.0038455,                   0,           0.0083566,           0.0083566,           0.0083566
                  85,            0.021017,           0.0049215,                   0,             0.99509,             0.97436,             0.99442,             0.72405,            0.020531,           0.0038583,                   0,           0.0083368,           0.0083368,           0.0083368
                  86,            0.020006,           0.0050293,                   0,             0.98287,             0.98084,             0.99423,             0.71511,            0.021799,           0.0039433,                   0,            0.008317,            0.008317,            0.008317
